date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:55	36726/36726	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2008:32:25%20GMT	https://www.tutorialspoint.com/java/java_collections.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_collections.html	(from )
11:39:55	337/337	---M--	200	added ('OK')	text/plain	etag:%22151-5a8d208c85be5%22	https://www.tutorialspoint.com/robots.txt		(from )
11:39:56	146362/146362	---M-Z	200	added ('OK')	text/css	etag:%2223bba-5b7ef42368256-gzip%22	https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336	D:/httrack/java/Java/www.tutorialspoint.com/themes/css/style-min-v168f6.css	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:56	141888/141888	---M-Z	200	added ('OK')	application/javascript	etag:%2222a40-5b7ef4e63fb2b-gzip%22	https://www.tutorialspoint.com/themes/js/script-min-v1.js?v=3.0.2040229	D:/httrack/java/Java/www.tutorialspoint.com/themes/js/script-min-v1bfcb.js	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2009:39:58%20GMT	http://delivery.adrecover.com/18107/adRecover.js	D:/httrack/java/Java/delivery.adrecover.com/18107/adRecover.4.delayed	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:57	413779/413779	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2007%20Jun%202021%2009:49:52%20GMT	http://cdn.adpushup.com/40046/adpushup.js	D:/httrack/java/Java/cdn.adpushup.com/40046/adpushup.js	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:57	40116/40116	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b9cfb9-9cb4%22	https://delivery.adrecover.com/18107/adRecover.js	D:/httrack/java/Java/delivery.adrecover.com/18107/adRecover.js	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:57	35784/35784	---M--	200	added ('OK')	image/gif	etag:%228bc8-5991aa90c18bc%22	https://www.tutorialspoint.com/videotutorials/images/loader.gif	D:/httrack/java/Java/www.tutorialspoint.com/videotutorials/images/loader.gif	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:57	10524/10524	---M--	200	added ('OK')	image/png	etag:%22291c-554f7f8a87c40%22	https://www.tutorialspoint.com/java/images/logo.png	D:/httrack/java/Java/www.tutorialspoint.com/java/images/logo.png	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:58	7039/7039	---MC-	200	added ('OK')	text/javascript	date:Tue,%2008%20Jun%202021%2009:39:59%20GMT	https://cse.google.com/cse.js?cx=000263362972888060243:yfed6eu421q	D:/httrack/java/Java/cse.google.com/f8b02.txt	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:58	13466/13466	---M--	200	added ('OK')	image/jpeg	etag:%22349a-554f7f8a87c40%22	https://www.tutorialspoint.com/java/images/java-mini-logo.jpg	D:/httrack/java/Java/www.tutorialspoint.com/java/images/java-mini-logo.jpg	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:58	22303/22303	---M--	200	added ('OK')	image/jpeg	etag:%22571f-554f7f8a87c40%22	https://www.tutorialspoint.com/java/images/java-video-tutorials.jpg	D:/httrack/java/Java/www.tutorialspoint.com/java/images/java-video-tutorials.jpg	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:59	29224/29224	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2007:50:28%20GMT	https://www.tutorialspoint.com/java/index.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/index.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:59	29703/29703	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2017:23:11%20GMT	https://www.tutorialspoint.com/java/java_overview.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_overview.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:39:59	27743/27743	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20May%202021%2014:30:09%20GMT	https://www.tutorialspoint.com/java/java_environment_setup.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_environment_setup.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
